Open time,Close,High,Low,Volume
2023-01-26 08:00:00,1606.38,1610.45,1600.53,33726.8426
2023-01-26 10:00:00,1604.33,1608.07,1590.0,32996.8095
2023-01-26 12:00:00,1617.86,1618.56,1592.89,75193.3933
2023-01-26 14:00:00,1589.79,1621.06,1584.12,92195.8224
2023-01-26 16:00:00,1592.15,1598.3,1577.43,47719.1235
2023-01-26 18:00:00,1603.77,1607.27,1590.0,27813.645
2023-01-26 20:00:00,1603.12,1611.26,1594.38,29851.7847
2023-01-26 22:00:00,1601.09,1609.47,1597.49,22096.1231
2023-01-27 00:00:00,1562.81,1606.53,1552.54,100896.7086
2023-01-27 02:00:00,1565.73,1572.7,1560.58,37546.8738
2023-01-27 04:00:00,1583.02,1589.9,1563.08,34145.2944
2023-01-27 06:00:00,1585.4,1586.09,1577.66,23583.3402
2023-01-27 08:00:00,1578.31,1586.06,1575.87,23705.914
2023-01-27 10:00:00,1578.84,1581.6,1573.33,21189.8386
2023-01-27 12:00:00,1572.08,1584.73,1561.0,48696.4036
2023-01-27 14:00:00,1574.86,1594.55,1563.44,60915.5557
2023-01-27 16:00:00,1605.49,1611.79,1573.98,53383.4006
2023-01-27 18:00:00,1609.7,1611.32,1598.18,28510.5076
2023-01-27 20:00:00,1599.3,1621.0,1592.25,58396.7986
2023-01-27 22:00:00,1597.62,1599.89,1586.75,21122.7518
2023-01-28 00:00:00,1595.47,1606.83,1594.21,27931.5488
2023-01-28 02:00:00,1598.96,1600.0,1592.49,15982.4969
2023-01-28 04:00:00,1600.17,1603.39,1596.48,19598.1499
2023-01-28 06:00:00,1592.68,1600.48,1585.81,18770.5791
2023-01-28 08:00:00,1592.2,1594.0,1585.45,19907.6968
2023-01-28 10:00:00,1586.18,1592.2,1578.63,32385.4283
2023-01-28 12:00:00,1573.3,1586.19,1561.76,66221.9418
2023-01-28 14:00:00,1578.43,1580.57,1567.22,30598.8223
2023-01-28 16:00:00,1576.49,1580.55,1569.69,19932.3783
2023-01-28 18:00:00,1577.12,1578.46,1570.62,13345.4247
2023-01-28 20:00:00,1566.98,1577.59,1555.99,29592.6204
2023-01-28 22:00:00,1572.1,1574.06,1561.33,19408.5701
2023-01-29 00:00:00,1602.7,1618.99,1566.33,91096.8093
2023-01-29 02:00:00,1594.36,1607.26,1582.45,37799.3686
2023-01-29 04:00:00,1597.33,1599.39,1592.11,14209.3754
2023-01-29 06:00:00,1592.58,1597.9,1588.45,17319.6834
2023-01-29 08:00:00,1600.99,1604.95,1588.97,25288.7919
2023-01-29 10:00:00,1609.08,1619.79,1594.0,60812.2197
2023-01-29 12:00:00,1612.83,1626.64,1603.52,51497.6873
2023-01-29 14:00:00,1611.44,1616.19,1605.53,32749.8123
2023-01-29 16:00:00,1617.75,1621.81,1605.46,37746.3824
2023-01-29 18:00:00,1653.86,1660.0,1614.05,101018.4763
2023-01-29 20:00:00,1643.37,1655.37,1627.57,52511.8629
2023-01-29 22:00:00,1644.72,1654.4,1640.41,29717.4439
2023-01-30 00:00:00,1638.3,1647.53,1633.43,35812.7239
2023-01-30 02:00:00,1637.98,1638.65,1631.48,24175.9165
2023-01-30 04:00:00,1635.87,1641.37,1631.99,18033.0328
2023-01-30 06:00:00,1627.45,1636.72,1621.8,27950.8135
2023-01-30 08:00:00,1587.79,1630.11,1581.6,105305.0284
2023-01-30 10:00:00,1581.55,1595.56,1577.0,73222.604
2023-01-30 12:00:00,1577.26,1585.12,1567.68,55632.9943
2023-01-30 14:00:00,1585.18,1597.03,1570.8,61030.7426
2023-01-30 16:00:00,1581.24,1590.46,1578.25,30516.1556
2023-01-30 18:00:00,1554.24,1583.93,1535.0,87237.1723
2023-01-30 20:00:00,1556.64,1561.14,1536.84,39933.901
2023-01-30 22:00:00,1566.2,1567.87,1545.01,36204.2432
2023-01-31 00:00:00,1569.99,1576.2,1561.82,38183.1958
2023-01-31 02:00:00,1568.87,1575.63,1567.0,19807.2207
2023-01-31 04:00:00,1562.11,1573.36,1561.79,21013.9941
2023-01-31 06:00:00,1580.04,1581.08,1561.63,27445.5143
2023-01-31 08:00:00,1572.09,1583.98,1567.19,22643.4364
2023-01-31 10:00:00,1570.91,1574.02,1565.82,19749.2701
2023-01-31 12:00:00,1588.14,1588.73,1570.9,43412.4515
2023-01-31 14:00:00,1588.99,1596.13,1579.77,36475.0227
2023-01-31 16:00:00,1593.16,1605.18,1586.97,32559.6354
2023-01-31 18:00:00,1597.34,1598.83,1588.46,16268.3372
2023-01-31 20:00:00,1577.55,1598.61,1564.02,41717.3488
2023-01-31 22:00:00,1585.33,1600.77,1570.89,29581.2481
2023-02-01 00:00:00,1588.92,1592.94,1576.43,30805.3578
2023-02-01 02:00:00,1584.61,1589.44,1578.8,16267.5548
2023-02-01 04:00:00,1583.07,1585.7,1581.32,12349.8082
2023-02-01 06:00:00,1575.36,1583.41,1569.67,22730.8781
2023-02-01 08:00:00,1573.34,1576.29,1566.24,26104.9919
2023-02-01 10:00:00,1580.87,1583.68,1570.8,19851.6903
2023-02-01 12:00:00,1581.41,1587.74,1573.27,25601.1405
2023-02-01 14:00:00,1575.53,1589.8,1572.13,39447.4637
2023-02-01 16:00:00,1571.53,1580.22,1566.92,20843.3193
2023-02-01 18:00:00,1617.48,1627.06,1555.18,135587.3821
2023-02-01 20:00:00,1635.23,1647.47,1613.63,86234.3328
2023-02-01 22:00:00,1641.68,1647.77,1635.23,38793.2514
2023-02-02 00:00:00,1675.63,1696.38,1639.32,115304.839
2023-02-02 02:00:00,1671.13,1678.0,1666.59,37051.4903
2023-02-02 04:00:00,1670.0,1676.76,1669.2,26404.0651
2023-02-02 06:00:00,1664.21,1671.35,1660.17,30516.8017
2023-02-02 08:00:00,1674.22,1674.34,1662.13,24957.3444
2023-02-02 10:00:00,1671.99,1674.76,1667.41,18640.992
2023-02-02 12:00:00,1672.62,1677.0,1669.16,32901.3911
2023-02-02 14:00:00,1678.14,1690.0,1650.0,105839.5807
2023-02-02 16:00:00,1680.18,1684.31,1671.51,35393.3065
2023-02-02 18:00:00,1675.15,1714.68,1666.21,94522.7
2023-02-02 20:00:00,1637.19,1686.3,1633.44,64243.0466
2023-02-02 22:00:00,1643.12,1661.48,1626.85,43413.33
2023-02-03 00:00:00,1644.39,1650.43,1631.04,33358.4451
2023-02-03 02:00:00,1642.17,1647.75,1630.67,25573.4677
2023-02-03 04:00:00,1643.89,1644.91,1638.53,18298.6212
2023-02-03 06:00:00,1637.49,1647.24,1636.07,24929.1685
2023-02-03 08:00:00,1641.97,1643.72,1629.96,24766.2873
2023-02-03 10:00:00,1649.2,1650.83,1635.61,24003.9189
2023-02-03 12:00:00,1637.11,1654.93,1625.93,85876.8555
2023-02-03 14:00:00,1663.93,1675.0,1627.12,111090.4044
2023-02-03 16:00:00,1660.99,1676.0,1655.99,42864.1432
2023-02-03 18:00:00,1652.91,1662.8,1650.74,32018.9392
2023-02-03 20:00:00,1657.32,1661.68,1642.4,21577.0472
2023-02-03 22:00:00,1663.52,1672.13,1656.39,20457.7338
2023-02-04 00:00:00,1657.0,1665.95,1655.73,25122.621
2023-02-04 02:00:00,1654.36,1659.24,1650.0,15746.4248
2023-02-04 04:00:00,1651.33,1654.52,1646.1,15785.0045
2023-02-04 06:00:00,1658.17,1660.0,1645.43,16611.6604
2023-02-04 08:00:00,1657.77,1658.87,1651.39,20337.8436
2023-02-04 10:00:00,1661.92,1662.73,1657.16,20784.6492
2023-02-04 12:00:00,1684.23,1695.29,1660.74,67808.7923
2023-02-04 14:00:00,1679.97,1684.66,1671.81,30089.3143
2023-02-04 16:00:00,1681.36,1685.46,1672.32,25533.1833
2023-02-04 18:00:00,1675.93,1682.92,1672.66,16166.2879
2023-02-04 20:00:00,1680.05,1684.01,1673.78,20393.3354
2023-02-04 22:00:00,1666.38,1689.0,1658.53,33848.0128
2023-02-05 00:00:00,1665.48,1671.0,1657.49,28014.9927
2023-02-05 02:00:00,1660.7,1668.78,1656.68,25855.6057
2023-02-05 04:00:00,1666.96,1667.17,1659.35,15300.6196
2023-02-05 06:00:00,1668.14,1671.2,1663.82,15496.9607
2023-02-05 08:00:00,1665.75,1673.81,1665.18,18138.6329
2023-02-05 10:00:00,1662.6,1670.44,1660.86,16885.5935
2023-02-05 12:00:00,1648.25,1664.58,1635.93,80886.856
2023-02-05 14:00:00,1644.18,1657.24,1640.55,37699.0588
2023-02-05 16:00:00,1618.14,1647.45,1615.46,84893.6405
2023-02-05 18:00:00,1619.48,1624.52,1609.3,40015.8782
2023-02-05 20:00:00,1622.2,1623.18,1611.8,20040.8797
2023-02-05 22:00:00,1629.02,1639.6,1621.26,30350.9565
2023-02-06 00:00:00,1631.21,1642.53,1628.65,24704.1874
2023-02-06 02:00:00,1626.6,1633.91,1617.85,24645.1631
2023-02-06 04:00:00,1621.55,1629.6,1608.53,32233.3477
